GO:0014055,GO:0061535
GO:0014879,GO:0050963
GO:0015014,GO:0050652
GO:0015111,GO:0015116
GO:0015112,GO:0015116
GO:0015113,GO:0015112
GO:0015115,GO:0015654
GO:0015116,GO:0015112
GO:0015121,GO:0051407
GO:0015298,GO:0140323
GO:0015308,GO:0015311
GO:0015308,GO:0062158
GO:0015309,GO:0045119
GO:0015310,GO:0015311
GO:0015310,GO:0045119
GO:0015311,GO:0015308
GO:0015311,GO:0045119
GO:0015312,GO:0015311
GO:0015313,GO:0015314
GO:0015314,GO:0015311
GO:0015364,GO:0015315
GO:0015367,GO:0070906
GO:0015369,GO:0015385
GO:0015373,GO:0015377
GO:0015377,GO:0015373
GO:0015382,GO:0008507
GO:0015385,GO:0015369
GO:0015386,GO:0010348
GO:0015408,GO:0015414
GO:0015408,GO:0015625
GO:0015410,GO:0015414
GO:0015410,GO:0140679
GO:0015411,GO:0140394
GO:0015412,GO:0043211
GO:0015413,GO:0015410
GO:0015413,GO:0015414
GO:0015414,GO:0015410
GO:0015416,GO:0015419
GO:0015417,GO:0140394
GO:0015419,GO:0015414
GO:0015420,GO:0034041
GO:0015420,GO:1901238
GO:0015421,GO:0015433
GO:0015422,GO:0015407
GO:0015425,GO:0015426
GO:0015430,GO:0015607
GO:0015431,GO:0043211
GO:0015432,GO:0015424
GO:0015433,GO:0015421
GO:0015434,GO:0015410
GO:0015436,GO:0043211
GO:0015438,GO:0043211
GO:0015439,GO:0031458
GO:0015439,GO:0034041
GO:0015462,GO:0034041
GO:0015491,GO:0140323
GO:0015496,GO:0043858
GO:0015496,GO:0043861
GO:0015513,GO:0080054
GO:0015514,GO:0010542
GO:0015515,GO:0005469
GO:0015516,GO:0005469
GO:0015516,GO:0015515
GO:0015520,GO:0015311
GO:0015520,GO:0045119
GO:0015526,GO:0051407
GO:0015527,GO:0051407
GO:0015594,GO:0140394
GO:0015599,GO:0102013
GO:0015607,GO:0043211
GO:0015607,GO:0102025
GO:0015608,GO:0043212
GO:0015611,GO:0015614
GO:0015614,GO:0015611
GO:0015624,GO:0008559
GO:0015624,GO:0015440
GO:0015625,GO:0015414
GO:0015633,GO:0015414
GO:0015633,GO:0140679
GO:0015654,GO:0015115
GO:0015685,GO:0033214
GO:0015686,GO:0015687
GO:0015700,GO:0080160
GO:0015702,GO:0015703
GO:0015703,GO:0015702
GO:0015706,GO:0015707
GO:0015707,GO:0015706
GO:0015708,GO:0098658
GO:0015712,GO:0015717
GO:0015759,GO:0000017
GO:0015760,GO:0070811
GO:0015763,GO:0015764
