GO:0016480,GO:1904280
GO:0016841,GO:0016843
GO:0016843,GO:0016841
GO:0016861,GO:0016863
GO:0016862,GO:0016861
GO:0016862,GO:0016863
GO:0016863,GO:0016861
GO:0017189,GO:0017192
GO:0017189,GO:0018000
GO:0017189,GO:0048275
GO:0017190,GO:0017192
GO:0017190,GO:0018000
GO:0017190,GO:0018002
GO:0017192,GO:0017189
GO:0017192,GO:0017193
GO:0017192,GO:0018002
GO:0017193,GO:0017192
GO:0017193,GO:0018000
GO:0017193,GO:0048275
GO:0017194,GO:0017189
GO:0017194,GO:0018001
GO:0017194,GO:0048275
GO:0017196,GO:0017198
GO:0017196,GO:0018076
GO:0017197,GO:0017193
GO:0017197,GO:0018000
GO:0017197,GO:0048275
GO:0017198,GO:0017196
GO:0017198,GO:0018076
GO:0017199,GO:0017193
GO:0017199,GO:0017197
GO:0017199,GO:0018000
GO:0018000,GO:0017189
GO:0018000,GO:0017193
GO:0018000,GO:0017197
GO:0018001,GO:0017189
GO:0018001,GO:0017194
GO:0018001,GO:0017197
GO:0018002,GO:0017190
GO:0018002,GO:0017192
GO:0018002,GO:0017193
GO:0018004,GO:0006498
GO:0018005,GO:0018008
GO:0018005,GO:0051364
GO:0018006,GO:0006474
GO:0018007,GO:0018005
GO:0018008,GO:0018005
GO:0018009,GO:0046918
GO:0018011,GO:0035570
GO:0018011,GO:0046897
GO:0018012,GO:0019716
GO:0018013,GO:0018019
GO:0018013,GO:0035570
GO:0018013,GO:0046897
GO:0018014,GO:0018011
GO:0018014,GO:0018015
GO:0018014,GO:0046897
GO:0018015,GO:0018011
GO:0018015,GO:0018013
GO:0018015,GO:0046897
GO:0018016,GO:0035570
GO:0018019,GO:0018011
GO:0018019,GO:0018013
GO:0018019,GO:0046897
GO:0018058,GO:0031364
GO:0018059,GO:0018060
GO:0018059,GO:0018278
GO:0018059,GO:0018389
GO:0018060,GO:0018059
GO:0018060,GO:0018278
GO:0018060,GO:0018389
GO:0018076,GO:0017198
GO:0018275,GO:0017189
GO:0018275,GO:0018000
GO:0018275,GO:0048275
GO:0018278,GO:0018059
GO:0018278,GO:0018060
GO:0018278,GO:0018389
GO:0018386,GO:0018388
GO:0018387,GO:0018059
GO:0018387,GO:0018060
GO:0018388,GO:0018386
GO:0018389,GO:0018059
GO:0018389,GO:0018060
GO:0018389,GO:0018278
GO:0018546,GO:0034556
GO:0018546,GO:0034957
GO:0018845,GO:0034528
GO:0018845,GO:0034532
GO:0018845,GO:0034536
GO:0018877,GO:0018919
GO:0018878,GO:0018919
GO:0018885,GO:0018900
GO:0018886,GO:0018900
GO:0018886,GO:0019382
