GO:0018973,GO:0046263
GO:0018975,GO:0046256
GO:0019146,GO:0004751
GO:0019146,GO:0050044
GO:0019257,GO:0018973
GO:0019258,GO:0046260
GO:0019406,GO:0019526
GO:0019526,GO:0019406
GO:0019601,GO:0019602
GO:0019601,GO:0019603
GO:0019602,GO:0019601
GO:0019602,GO:0019603
GO:0019603,GO:0019601
GO:0019603,GO:0019602
GO:0019604,GO:0019601
GO:0019683,GO:0046166
GO:0019696,GO:0019601
GO:0019696,GO:0019602
GO:0019696,GO:0019603
GO:0019705,GO:0019706
GO:0019705,GO:0140441
GO:0019706,GO:0019705
GO:0019706,GO:0140441
GO:0019778,GO:0019779
GO:0019779,GO:0019778
GO:0019782,GO:0019778
GO:0019784,GO:0071567
GO:0019785,GO:0019786
GO:0019785,GO:0070137
GO:0019786,GO:0019785
GO:0021900,GO:0022023
GO:0021901,GO:0022023
GO:0021902,GO:0021898
GO:0021905,GO:0021547
GO:0021905,GO:0021906
GO:0021906,GO:0021905
GO:0030060,GO:0046553
GO:0030060,GO:0052589
GO:0030382,GO:0048311
GO:0030658,GO:0030662
GO:0030660,GO:0030666
GO:0030662,GO:0030658
GO:0030668,GO:0030667
GO:0030729,GO:0047475
GO:0030729,GO:0047760
GO:0030979,GO:0051274
GO:0031057,GO:0031058
GO:0031058,GO:0031057
GO:0031061,GO:0031062
GO:0031062,GO:0031061
GO:0031064,GO:0031065
GO:0031065,GO:0031064
GO:0031088,GO:0031092
GO:0031088,GO:0032127
GO:0031092,GO:0031088
GO:0031210,GO:0001786
GO:0031210,GO:1901611
GO:0031273,GO:0051490
GO:0031541,GO:0031542
GO:0031542,GO:0031541
GO:0031671,GO:1990344
GO:0031798,GO:0031799
GO:0031798,GO:0031800
GO:0031798,GO:0031803
GO:0031799,GO:0031798
GO:0031799,GO:0031800
GO:0031799,GO:0031801
GO:0031800,GO:0031799
GO:0031800,GO:0031801
GO:0031800,GO:0031803
GO:0031801,GO:0031799
GO:0031801,GO:0031800
GO:0031801,GO:0031802
GO:0031802,GO:0031801
GO:0031802,GO:0031803
GO:0031802,GO:0031804
GO:0031803,GO:0031801
GO:0031803,GO:0031802
GO:0031803,GO:0031804
GO:0031804,GO:0031802
GO:0031804,GO:0031803
GO:0031804,GO:0031805
GO:0031805,GO:0031801
GO:0031805,GO:0031803
GO:0031805,GO:0031804
GO:0031901,GO:0098895
GO:0031955,GO:0004467
GO:0031955,GO:0031956
GO:0031955,GO:0031957
GO:0031956,GO:0004467
GO:0031956,GO:0031955
GO:0031957,GO:0004467
GO:0031957,GO:0031955
GO:0031957,GO:0031956
GO:0032063,GO:0032064
GO:0032064,GO:0032063
GO:0032065,GO:0033370
GO:0032065,GO:0072595
GO:0032080,GO:0032081
GO:0032080,GO:0032083
GO:0032081,GO:0032082
GO:0032081,GO:0032083
GO:0032082,GO:0032081
GO:0032082,GO:0032083
GO:0032083,GO:0032081
GO:0032083,GO:0032082
GO:0032096,GO:0032097
GO:0032097,GO:0032096
GO:0032099,GO:0032100
GO:0032100,GO:0032099
GO:0032205,GO:0032206
GO:0032206,GO:0032205
GO:0032208,GO:0032209
GO:0032209,GO:0032208
GO:0032211,GO:0032212
GO:0032212,GO:0032211
GO:0032214,GO:0032215
GO:0032215,GO:0032214
GO:0032227,GO:0060093
GO:0032229,GO:0051967
GO:0032266,GO:0010314
GO:0032266,GO:0070273
GO:0032480,GO:0032689
GO:0032685,GO:1901257
GO:0032687,GO:0032688
GO:0032688,GO:0032687
GO:0032689,GO:0034345
GO:0032693,GO:0032694
GO:0032694,GO:0032693
GO:0032695,GO:0032696
GO:0032696,GO:0032700
GO:0032698,GO:0032696
GO:0032699,GO:0032700
GO:0032700,GO:0032701
GO:0032701,GO:0032700
GO:0032702,GO:0032704
GO:0032703,GO:0032692
GO:0032703,GO:0032712
GO:0032704,GO:0032702
GO:0032705,GO:0032700
GO:0032706,GO:0032705
GO:0032707,GO:0032702
GO:0032708,GO:0032709
GO:0032709,GO:0032708
GO:0032710,GO:0032711
GO:0032711,GO:0032708
GO:0032712,GO:0032703
GO:0032713,GO:0032715
GO:0032714,GO:0032715
GO:0032715,GO:0032714
GO:0032716,GO:0032715
GO:0032717,GO:0032716
GO:0032718,GO:0032693
GO:0032775,GO:0032776
GO:0032911,GO:0032913
GO:0032912,GO:0032913
GO:0032913,GO:0032912
GO:0032979,GO:0051204
GO:0032995,GO:0060237
GO:0033110,GO:0030658
GO:0033169,GO:0034720
GO:0033169,GO:0070544
GO:0033169,GO:0071557
GO:0033183,GO:0033184
GO:0033184,GO:0033183
GO:0033185,GO:0031502
GO:0033336,GO:0033337
GO:0033337,GO:0033336
GO:0033338,GO:0033340
GO:0033339,GO:0033340
