GO:0098940	GO:0098924
GO:0098941	GO:0098942
GO:0098943	GO:0099646
GO:0098945	GO:0098946
GO:0098957	GO:0098958
GO:0098959	GO:0098972
GO:0098964	GO:0098971
GO:0099000	GO:0099002
GO:0099001	GO:0099000
GO:0099001	GO:0099002
GO:0099006	GO:0099008
GO:0099027	GO:0099029
GO:0099057	GO:0099059
GO:0099087	GO:0140231
GO:0099157	GO:0099541
GO:0099183	GO:0099552
GO:0099191	GO:0099541
GO:0099585	GO:0099586
GO:0099641	GO:0099642
GO:0102562	GO:1990585
GO:0102983	GO:0042285
GO:0103080	GO:0103089
GO:0103083	GO:0103086
GO:0106029	GO:0120159
GO:0106071	GO:0071879
GO:0106274	GO:0106275
GO:0120097	GO:1990529
GO:0120226	GO:1905502
GO:0140021	GO:1990544
GO:0140021	GO:1990549
GO:0140145	GO:0140147
GO:0140147	GO:0060003
GO:0140199	GO:0140194
GO:0140232	GO:0140233
GO:0140367	GO:0061760
GO:0140367	GO:0140374
GO:0140405	GO:0051305
GO:0140425	GO:0140271
GO:0140543	GO:1902895
GO:0140570	GO:0140569
GO:0150007	GO:1990771
GO:0150090	GO:0150091
GO:1900318	GO:1900348
GO:1900319	GO:1900349
GO:1900320	GO:1900350
GO:1900342	GO:1900318
GO:1900344	GO:1900320
GO:1900345	GO:1900348
GO:1900347	GO:1900350
GO:1900404	GO:0060261
GO:1900501	GO:1900498
GO:1900569	GO:1900566
GO:1900580	GO:1900581
GO:1900776	GO:1900779
GO:1900930	GO:1905009
GO:1900931	GO:1905010
GO:1901015	GO:1901014
GO:1901522	GO:0036003
GO:1901599	GO:1902126
GO:1901921	GO:0071620
GO:1901949	GO:1901948
GO:1902097	GO:0010673
GO:1902123	GO:1902125
GO:1902128	GO:1902131
GO:1902129	GO:1902132
GO:1902133	GO:1902136
GO:1902201	GO:1902020
GO:1902243	GO:1902242
GO:1902404	GO:1990274
GO:1902406	GO:1902404
GO:1902629	GO:0010610
GO:1902698	GO:1902699
GO:1902700	GO:1902701
GO:1902701	GO:1902702
GO:1902704	GO:1902706
GO:1902705	GO:1902706
GO:1902721	GO:1904363
GO:1902768	GO:1902767
GO:1902901	GO:0036003
GO:1903277	GO:1903783
GO:1903287	GO:1903765
GO:1903760	GO:1903952
GO:1903761	GO:1903953
GO:1903762	GO:1903954
GO:1903912	GO:1903916
GO:1903940	GO:1904262
GO:1904439	GO:1904039
GO:1904852	GO:0009322
GO:1905054	GO:1905058
GO:1905055	GO:1905060
GO:1905056	GO:1905059
GO:1905573	GO:1905575
GO:1905574	GO:1905575
GO:1990048	GO:1990049
GO:1990294	GO:1990443
GO:1990471	GO:1990472
GO:1990551	GO:1990555
GO:1990780	GO:0098592
GO:2000263	GO:2000266
GO:2000264	GO:2000267
GO:2000515	GO:2001186
GO:2000562	GO:2000565
GO:2000721	GO:1904081
GO:2000732	GO:1904595
GO:2000763	GO:1904081
GO:0000007	GO:0000006
GO:0000012	GO:0006302
GO:0000319	GO:0015116
GO:0000758	GO:0000752
GO:0002113	GO:0019973
GO:0002113	GO:0070746
GO:0002413	GO:0002458
GO:0002459	GO:0002460
GO:0002463	GO:0002509
GO:0002943	GO:0031119
GO:0002950	GO:0047494
GO:0003135	GO:0061313
GO:0003135	GO:0090243
GO:0003267	GO:0061324
GO:0003322	GO:0003324
GO:0003975	GO:0003976
GO:0003975	GO:0036380
GO:0004135	GO:0004558
GO:0004338	GO:0033913
GO:0004338	GO:0052859
GO:0004339	GO:0043896
GO:0005251	GO:0015271
GO:0005252	GO:0015271
GO:0005451	GO:0051139
GO:0005584	GO:0005585
GO:0005584	GO:0005586
GO:0005589	GO:0005590
GO:0005594	GO:0005595
GO:0005596	GO:0005597
GO:0005597	GO:1990318
GO:0005638	GO:0097426
GO:0006122	GO:0006121
GO:0006122	GO:0006123
GO:0006157	GO:0006161
GO:0006166	GO:0106380
GO:0006167	GO:0006177
GO:0006170	GO:0006181
GO:0006226	GO:0006227
GO:0006226	GO:0006229
GO:0006229	GO:0006242
GO:0006230	GO:0006232
GO:0006233	GO:0006242
GO:0006267	GO:0036390
GO:0006302	GO:0000725
GO:0006337	GO:0016584
GO:0006784	GO:0048034
GO:0006931	GO:0034446
GO:0006964	GO:0006965
GO:0007065	GO:0007066
GO:0007095	GO:0031571
GO:0007158	GO:0034109
GO:0007161	GO:0016340
GO:0007321	GO:0046693
GO:0007460	GO:0007465
GO:0008113	GO:0033743
GO:0008614	GO:0042817
GO:0008655	GO:0043101
GO:0008785	GO:0102039
GO:0008960	GO:0030572
GO:0009060	GO:0009061
GO:0009836	GO:0009837
GO:0009865	GO:0009876
GO:0010032	GO:0007076
GO:0010208	GO:0042244
GO:0010266	GO:0033274
GO:0010266	GO:0033552
GO:0010406	GO:0010407
GO:0010684	GO:0019741
GO:0010689	GO:0010690
GO:0010691	GO:0010690
GO:0010767	GO:1990248
GO:0010768	GO:0097201
GO:0010789	GO:0010790
GO:0014866	GO:0055003
GO:0015013	GO:0015015
GO:0015090	GO:0015092
GO:0015091	GO:0015093
GO:0015117	GO:0015234
GO:0015308	GO:0062158
GO:0015369	GO:0015385
GO:0015607	GO:0102025
GO:0015811	GO:1902022
GO:0016257	GO:0016256
GO:0016339	GO:0016338
GO:0016457	GO:0042715
GO:0016514	GO:0031010
GO:0016584	GO:0042766
GO:0016589	GO:0031213
GO:0016589	GO:0090536
GO:0016590	GO:0031213
GO:0016672	GO:0016669
GO:0016673	GO:0016669
GO:0017169	GO:0030572
GO:0017190	GO:0017192
GO:0017190	GO:0018002
GO:0017192	GO:0017193
GO:0017194	GO:0048275
GO:0017196	GO:0017198
GO:0017197	GO:0018000
GO:0017198	GO:0018076
GO:0017199	GO:0018000
GO:0018002	GO:0017192
GO:0018008	GO:0018005
GO:0018009	GO:0046918
GO:0018058	GO:0031364
GO:0018060	GO:0018278
GO:0018275	GO:0048275
GO:0018386	GO:0018388
GO:0018386	GO:0050988
GO:0018387	GO:0018059
GO:0019153	GO:0047134
GO:0019332	GO:0019409
GO:0019332	GO:0043554
GO:0019352	GO:0019353
GO:0019409	GO:0043554
GO:0019410	GO:0019412
GO:0019411	GO:0043554
GO:0019564	GO:0019588
GO:0019650	GO:0019657
GO:0019668	GO:0019669
GO:0019957	GO:0019958
GO:0019962	GO:0034347
GO:0019969	GO:0019970
GO:0019969	GO:0019983
