GO_1	GO_2	GO_1_Depth	GO_1_Leaf_Distance	GO_2_Depth	GO_2_Leaf_Distance	GO_1_to_GO_2_Hops_Undirected
GO:0034018	GO:0016862	5	0	4.0	1.0	3.0
GO:1903830	GO:0098655	6	2	4.0	1.0	2.0
GO:0033365	GO:0008104	5	1	3.0	1.0	2.0
GO:1901029	GO:0035795	6	0	5.0	1.0	3.0
GO:0042720	GO:1902494	4	0	2.0	1.0	4.0
GO:0051592	GO:0010033	5	1	3.0	1.0	4.0
GO:1900788	GO:0072338	4	1	3.0	2.0	2.0
GO:0045727	GO:0051247	7	1	6.0	1.0	2.0
GO:0075004	GO:0044650	3	0	3.0	1.0	2.0
GO:1900646	GO:0031326	6	1	5.0	1.0	2.0
GO:0106378	GO:0047429	5	0	6.0	1.0	3.0
GO:0033502	GO:0033500	4	0	5.0	2.0	2.0
GO:0020035	GO:0044650	3	0	3.0	1.0	2.0
GO:0004971	GO:0022890	6	0	4.0	2.0	3.0
GO:0005278	GO:0015078	5	0	5.0	1.0	2.0
GO:0018901	GO:1901564	4	1	3.0	1.0	3.0
GO:0046034	GO:0009205	2	1	7.0	2.0	3.0
GO:0045740	GO:0051054	7	2	6.0	1.0	3.0
GO:0071247	GO:1902075	5	0	4.0	1.0	3.0
GO:0034139	GO:0039531	7	1	5.0	2.0	3.0
GO:0001626	GO:0008528	6	0	4.0	1.0	2.0
GO:0045493	GO:2000895	7	2	7.0	1.0	2.0
GO:0080021	GO:1902074	4	1	3.0	2.0	3.0
GO:0035434	GO:0098655	6	1	4.0	1.0	2.0
GO:0004152	GO:0016627	5	1	3.0	1.0	2.0
GO:0140674	GO:0140096	4	1	2.0	1.0	5.0
GO:0034180	GO:0039532	7	0	6.0	1.0	4.0
GO:0090624	GO:0045182	7	0	1.0	1.0	8.0
GO:0019472	GO:1901362	5	0	4.0	1.0	3.0
GO:0006882	GO:0030003	7	0	5.0	1.0	2.0
GO:0018193	GO:0036211	6	2	4.0	2.0	2.0
GO:1900800	GO:0019752	3	1	5.0	1.0	3.0
GO:0090235	GO:0032879	5	2	3.0	1.0	2.0
GO:0006833	GO:0071702	5	1	4.0	1.0	3.0
GO:0043541	GO:1902494	3	0	2.0	1.0	3.0
GO:0005085	GO:0140677	5	0	2.0	1.0	5.0
GO:0010550	GO:0042176	7	0	5.0	1.0	2.0
GO:1905033	GO:0048518	6	1	3.0	1.0	4.0
GO:0042573	GO:0042445	4	1	2.0	2.0	2.0
GO:0097485	GO:0031175	3	1	6.0	1.0	6.0
GO:0019677	GO:0006195	7	0	6.0	2.0	3.0
GO:0031400	GO:0051248	7	1	6.0	1.0	2.0
GO:0140704	GO:0043168	5	0	3.0	1.0	3.0
GO:2001001	GO:2000989	7	2	7.0	1.0	2.0
GO:0080112	GO:0022414	3	0	1.0	1.0	2.0
GO:0034171	GO:0039531	7	1	5.0	2.0	3.0
GO:0000761	GO:0098610	3	0	4.0	2.0	2.0
GO:0062158	GO:0022853	5	0	4.0	1.0	3.0
GO:0035738	GO:0035821	3	1	2.0	1.0	3.0
GO:0035725	GO:0098655	6	1	4.0	1.0	2.0
GO:0046618	GO:0140352	5	1	2.0	2.0	3.0
GO:0043605	GO:0009056	5	1	2.0	1.0	3.0
GO:0045942	GO:0010563	4	0	6.0	1.0	4.0
GO:0140703	GO:0032561	5	0	5.0	1.0	3.0
GO:0015108	GO:0015103	4	0	4.0	1.0	2.0
GO:0031431	GO:1902554	3	0	6.0	1.0	4.0
GO:1902893	GO:2000628	7	1	6.0	2.0	5.0
GO:0015091	GO:1901682	8	1	3.0	1.0	4.0
GO:0052598	GO:0052597	5	0	5.0	0.0	2.0
GO:2000120	GO:0051050	7	0	4.0	1.0	3.0
GO:0030205	GO:0032787	4	1	6.0	1.0	3.0
GO:0090052	GO:0010964	7	1	7.0	1.0	2.0
GO:0075031	GO:0051094	6	0	4.0	1.0	3.0
GO:0019694	GO:0006082	3	1	3.0	1.0	2.0
GO:1902860	GO:0046949	5	0	5.0	1.0	2.0
GO:0070212	GO:0043687	7	0	6.0	1.0	3.0
GO:0033792	GO:0016616	4	0	4.0	1.0	4.0
GO:0006846	GO:0071705	6	2	4.0	1.0	3.0
GO:0046058	GO:0052652	7	1	7.0	1.0	2.0
GO:0008212	GO:0009987	4	2	1.0	1.0	3.0
GO:0005261	GO:0008324	5	1	4.0	1.0	2.0
GO:0006821	GO:0006820	7	1	5.0	1.0	2.0
GO:0019471	GO:1901360	4	1	3.0	1.0	3.0
GO:1905014	GO:1902690	8	0	5.0	1.0	5.0
GO:0015730	GO:0015913	7	0	7.0	0.0	2.0
GO:0047057	GO:0016728	5	0	4.0	2.0	5.0
GO:0039516	GO:0019048	4	1	2.0	1.0	2.0
GO:1990143	GO:1902494	2	0	2.0	1.0	2.0
GO:0005601	GO:1902494	2	0	2.0	1.0	2.0
GO:0070779	GO:0015810	5	0	5.0	0.0	2.0
GO:0006734	GO:0019674	2	1	2.0	1.0	2.0
GO:0030895	GO:0045293	3	0	2.0	1.0	3.0
GO:0046444	GO:0052648	5	1	6.0	1.0	4.0
GO:0051478	GO:0019752	4	1	5.0	1.0	3.0
GO:0010835	GO:0051338	7	1	4.0	1.0	5.0
GO:0046068	GO:0052652	7	1	7.0	1.0	2.0
GO:1901055	GO:0006807	7	1	2.0	1.0	5.0
GO:0071311	GO:1901699	5	0	4.0	1.0	3.0
GO:0034081	GO:1902494	2	1	2.0	1.0	2.0
GO:2000442	GO:0062208	8	0	6.0	1.0	2.0
GO:1901327	GO:0010243	3	1	4.0	1.0	3.0
GO:0039657	GO:0050794	4	2	3.0	1.0	2.0
GO:2000541	GO:0031325	8	0	5.0	1.0	3.0
GO:0071273	GO:0044273	6	0	4.0	1.0	4.0
GO:0034488	GO:0032974	4	0	4.0	1.0	2.0
GO:1990249	GO:0044815	2	1	2.0	1.0	2.0
GO:1900781	GO:1901362	6	0	4.0	1.0	2.0
GO:0097271	GO:0008104	5	0	3.0	1.0	2.0
GO:1901684	GO:0055085	5	0	2.0	1.0	3.0
GO:0070219	GO:0055082	7	0	3.0	1.0	4.0
GO:1900160	GO:0051276	9	0	5.0	1.0	4.0
GO:0005955	GO:0140535	4	0	2.0	1.0	2.0
GO:0046343	GO:0006807	5	1	2.0	1.0	3.0
GO:0006470	GO:0036211	6	1	4.0	2.0	2.0
GO:0007204	GO:0065008	9	1	2.0	1.0	3.0
GO:1902656	GO:0006816	5	1	7.0	1.0	2.0
GO:1900072	GO:0051050	7	1	4.0	1.0	3.0
GO:0046300	GO:1901565	5	0	4.0	1.0	3.0
GO:0070332	GO:1902494	2	0	2.0	1.0	2.0
GO:0120248	GO:1901575	3	2	3.0	1.0	2.0
GO:0072541	GO:0004601	3	0	2.0	1.0	3.0
GO:1903425	GO:0008509	5	1	4.0	1.0	2.0
GO:0019501	GO:0046395	5	0	5.0	1.0	2.0
GO:0031250	GO:1902494	2	0	2.0	1.0	2.0
GO:1904361	GO:0048522	6	1	4.0	1.0	2.0
GO:0140330	GO:0042908	4	0	4.0	1.0	2.0
GO:0008207	GO:0042445	4	2	2.0	2.0	2.0
GO:0006876	GO:0030003	7	0	5.0	1.0	2.0
GO:0035923	GO:0031406	3	0	4.0	1.0	3.0
GO:0034745	GO:1905360	2	0	3.0	1.0	3.0
GO:0051958	GO:0072337	6	0	5.0	1.0	3.0
GO:0018143	GO:0036211	6	2	4.0	2.0	2.0
GO:0045883	GO:0032109	4	0	7.0	1.0	4.0
GO:0044677	GO:1902494	2	0	2.0	1.0	2.0
GO:0035864	GO:1902074	5	1	3.0	2.0	4.0
GO:0019674	GO:0006163	2	1	5.0	2.0	5.0
GO:0005835	GO:0140535	2	0	2.0	1.0	2.0
GO:0060395	GO:0035556	3	0	3.0	1.0	2.0
GO:1903493	GO:1902074	4	0	3.0	2.0	3.0
GO:0042873	GO:1905039	5	1	4.0	1.0	2.0
GO:0006182	GO:0009190	8	0	7.0	2.0	2.0
GO:0010856	GO:0010853	4	0	4.0	2.0	2.0
GO:0031211	GO:0002178	3	2	4.0	4.0	2.0
GO:0015874	GO:0015695	7	1	5.0	1.0	4.0
GO:0052183	GO:0051702	5	2	3.0	1.0	2.0
GO:1903704	GO:0070921	6	0	7.0	0.0	3.0
GO:0010034	GO:1902074	4	1	3.0	2.0	3.0
GO:0008278	GO:0044815	2	2	2.0	1.0	2.0
GO:0097076	GO:1902911	2	0	5.0	1.0	4.0
GO:0035278	GO:0017148	9	0	7.0	1.0	2.0
GO:0051476	GO:0009401	6	0	6.0	0.0	2.0
GO:0030653	GO:0009308	3	2	4.0	1.0	2.0
GO:0035864	GO:1901700	5	1	3.0	1.0	4.0
GO:0072707	GO:1901701	5	0	4.0	1.0	3.0
GO:0070690	GO:0043605	6	0	5.0	1.0	4.0
GO:0007220	GO:0019538	5	0	3.0	1.0	2.0
GO:0014727	GO:0048636	8	0	5.0	1.0	3.0
GO:0045572	GO:0048639	6	0	5.0	1.0	2.0
GO:0006704	GO:0120178	6	1	4.0	1.0	2.0
GO:0010854	GO:0010851	5	1	3.0	1.0	2.0
GO:0060919	GO:0098739	6	1	3.0	1.0	5.0
GO:0061553	GO:0071695	5	2	3.0	1.0	2.0
GO:0034587	GO:0070918	7	1	8.0	1.0	3.0
GO:0072748	GO:0071407	4	0	5.0	1.0	3.0
GO:0062207	GO:0045088	5	2	5.0	2.0	2.0
GO:1902324	GO:0045723	6	0	7.0	1.0	2.0
GO:0000745	GO:0022414	5	0	1.0	1.0	3.0
GO:1902894	GO:2000629	8	0	7.0	1.0	5.0
GO:0036254	GO:1902075	5	0	4.0	1.0	4.0
GO:0030209	GO:0072329	5	0	6.0	1.0	3.0
GO:1901569	GO:0016042	4	1	4.0	1.0	2.0
GO:0004810	GO:0070567	8	1	5.0	1.0	5.0
GO:0015520	GO:0015297	6	0	5.0	1.0	3.0
GO:0071315	GO:1902075	7	0	4.0	1.0	5.0
GO:1900332	GO:0033240	6	0	6.0	1.0	2.0
GO:1903966	GO:0006633	5	0	5.0	1.0	2.0
GO:0052841	GO:0008486	6	1	6.0	0.0	2.0
GO:0052710	GO:0009063	6	0	4.0	1.0	3.0
GO:0071246	GO:1902075	5	0	4.0	1.0	3.0
GO:0019470	GO:0046700	5	0	4.0	1.0	3.0
GO:0019197	GO:1902494	2	0	2.0	1.0	2.0
GO:0044656	GO:0097494	5	0	5.0	3.0	2.0
GO:0044667	GO:0015297	5	0	5.0	1.0	3.0
GO:0097295	GO:0044272	6	0	4.0	1.0	4.0
GO:1990818	GO:0072337	5	0	5.0	1.0	3.0
GO:0031421	GO:1902494	3	0	2.0	1.0	3.0
GO:0017101	GO:0140535	2	0	2.0	1.0	2.0
GO:0017013	GO:0036211	6	0	4.0	2.0	2.0
GO:0060390	GO:1902531	5	1	5.0	2.0	2.0
GO:0110153	GO:0016462	4	0	5.0	1.0	2.0
GO:0035431	GO:0032891	8	0	5.0	2.0	4.0
GO:1903580	GO:1900544	5	1	7.0	1.0	2.0
GO:0051481	GO:0065008	9	1	2.0	1.0	5.0
GO:0014725	GO:0048634	7	1	4.0	2.0	3.0
GO:0110065	GO:0032879	5	1	3.0	1.0	2.0
GO:0031406	GO:0043177	4	1	3.0	1.0	2.0
GO:1902690	GO:1900544	5	1	7.0	1.0	4.0
GO:0055063	GO:0098771	8	1	6.0	2.0	2.0
GO:0034136	GO:0009968	7	0	5.0	1.0	2.0
GO:0047066	GO:0004601	4	0	2.0	1.0	2.0
