GO:0008437	GO:0017045
GO:0008613	GO:0017045
GO:0008613	GO:0046659
GO:0008672	GO:0008674
GO:0008672	GO:0008675
GO:0008672	GO:0106099
GO:0008674	GO:0008675
GO:0008674	GO:0047438
GO:0008674	GO:0106099
GO:0008675	GO:0047441
GO:0008675	GO:0061677
GO:0008752	GO:0052873
GO:0008752	GO:0052874
GO:0008756	GO:0047851
GO:0008756	GO:0106290
GO:0008774	GO:0018478
GO:0008774	GO:0047110
GO:0008802	GO:0019108
GO:0008854	GO:0008855
GO:0008863	GO:0047899
GO:0008886	GO:0043878
GO:0008886	GO:0047100
GO:0008911	GO:0008957
GO:0008911	GO:0050569
GO:0008922	GO:0031955
GO:0008922	GO:0031956
GO:0008922	GO:0120515
GO:0008957	GO:0033723
GO:0008957	GO:0050569
GO:0008972	GO:0102352
GO:0008976	GO:0102763
GO:0008995	GO:0008996
GO:0009025	GO:0047905
GO:0009030	GO:0050331
GO:0009035	GO:0009036
GO:0009035	GO:0015668
GO:0009035	GO:0032067
GO:0009036	GO:0015668
GO:0009036	GO:0032067
GO:0009047	GO:0009048
GO:0009047	GO:0042464
GO:0009048	GO:0042464
GO:0009152	GO:0009153
GO:0009300	GO:0009299
GO:0009301	GO:0009302
GO:0009301	GO:0009303
GO:0009301	GO:0009304
GO:0009302	GO:0009303
GO:0009302	GO:0009304
GO:0009303	GO:0009304
GO:0009554	GO:0009556
GO:0009584	GO:0009589
GO:0009585	GO:0007604
GO:0009585	GO:0009588
GO:0009588	GO:0007603
GO:0009588	GO:0007604
GO:0009637	GO:0010114
GO:0009639	GO:0009637
GO:0009645	GO:0009644
GO:0009648	GO:0042331
GO:0009841	GO:0030678
GO:0009864	GO:0009866
GO:0009865	GO:0009876
GO:0009906	GO:0009907
GO:0009915	GO:0110128
GO:0009923	GO:0008250
GO:0010024	GO:0140609
GO:0010116	GO:2000304
GO:0010117	GO:0042331
GO:0010161	GO:0010018
GO:0010203	GO:0010202
GO:0010218	GO:0010114
GO:0010224	GO:0010225
GO:0010224	GO:0070141
GO:0010225	GO:0070141
GO:0010244	GO:0055121
GO:0010246	GO:0010306
GO:0010323	GO:2001211
GO:0010359	GO:2001257
GO:0010360	GO:1901529
GO:0010361	GO:1902941
GO:0010383	GO:0010384
GO:0010400	GO:0010399
GO:0010401	GO:0010402
GO:0010403	GO:0010401
GO:0010406	GO:0010407
GO:0010406	GO:0010408
GO:0010416	GO:0010413
GO:0010513	GO:1901353
GO:0010592	GO:0010593
GO:0010596	GO:0010633
GO:0010620	GO:0010621
GO:0010633	GO:0002686
GO:0010684	GO:0019741
GO:0010689	GO:0010690
GO:0010689	GO:0010691
GO:0010691	GO:0010690
GO:0010736	GO:0032810
GO:0010736	GO:0035497
GO:0010760	GO:0071623
GO:0010774	GO:0010775
GO:0010776	GO:0010777
GO:0010789	GO:0007066
GO:0010789	GO:0010790
GO:0010790	GO:0007066
GO:0010800	GO:0033138
GO:0010800	GO:0050731
GO:0010801	GO:0033137
GO:0010801	GO:0050732
GO:0010833	GO:0090737
GO:0010867	GO:2000304
GO:0010868	GO:0071072
GO:0010881	GO:0014809
GO:0010944	GO:0060567
GO:0014047	GO:0061528
GO:0014722	GO:0010882
GO:0014723	GO:0014809
GO:0014729	GO:0014728
GO:0014747	GO:0014748
GO:0014810	GO:0014811
GO:0014852	GO:0014722
GO:0014852	GO:0100001
GO:0014861	GO:0014862
GO:0014861	GO:0100001
GO:0014868	GO:0014871
GO:0014915	GO:0014871
GO:0015011	GO:0051202
GO:0015133	GO:0015146
GO:0015146	GO:0015149
GO:0015182	GO:0015186
GO:0015186	GO:0015188
GO:0015188	GO:0015190
GO:0015369	GO:0140983
GO:0015371	GO:0015517
GO:0015375	GO:0140799
GO:0015519	GO:0005356
GO:0015578	GO:0055056
GO:0015614	GO:0015612
GO:0015668	GO:0032067
GO:0015742	GO:0015814
GO:0015743	GO:0015744
GO:0015766	GO:2001088
GO:0015773	GO:2001092
GO:0015778	GO:1902341
GO:0015792	GO:1902341
GO:0015795	GO:1902341
GO:0015796	GO:1902341
GO:0015797	GO:1902341
GO:0015970	GO:0015973
GO:0016061	GO:2001257
GO:0016084	GO:0016085
GO:0016087	GO:0018445
GO:0016100	GO:0016105
GO:0016103	GO:0016105
GO:0016107	GO:0016110
GO:0016207	GO:0018861
GO:0016207	GO:0042410
GO:0016207	GO:0047541
GO:0016300	GO:0016423
GO:0016300	GO:0016426
GO:0016300	GO:0016427
GO:0016332	GO:0016334
GO:0016332	GO:0042248
GO:0016336	GO:0016334
GO:0016339	GO:0007156
GO:0016339	GO:0016338
GO:0016340	GO:0090673
GO:0016345	GO:0016346
GO:0016423	GO:0016426
GO:0016423	GO:0016427
GO:0016426	GO:0016427
GO:0016428	GO:0052735
GO:0016430	GO:0160105
GO:0016430	GO:0160106
GO:0016479	GO:0016480
GO:0016608	GO:0070186
GO:0016655	GO:0050664
GO:0016878	GO:0016405
GO:0016889	GO:0016888
GO:0016890	GO:0016888
GO:0016890	GO:0016889
GO:0016891	GO:0016892
GO:0016893	GO:0016894
GO:0016895	GO:0016896
GO:0016913	GO:0046659
GO:0017044	GO:0030354
GO:0017108	GO:0048257
